GEOID,COUNTY,STATE,DISASTER_COUNT_2011_2024,STATE_DISASTER_COUNT,FEMA_PA_HM,FEMA_PER_CAPITA,POPULATION,CDC_SVI_2022,OMB_CLASS,SAIDI_MIN_AVG,SAIDI_MIN_MAX,PCT_POP_60PLUS,AGE_CLASS,PCT_MINORITY,HEAT_NRI,COMPOUND_RISK_COUNT_NATL,NRI_POP_2020,NRI_AREA_SQMI,NRI_BUILDING_VALUE,NRI_AGRICULTURE_VALUE,NRI_SCORE_COMPOSITE,NRI_RATING_COMPOSITE,NRI_EAL_TOTAL_COMPOSITE,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_RESILIENCE_SCORE,NRI_RESILIENCE_RATING,FLOOD_RISK_SCORE,FLOOD_RISK_RATING,FLOOD_EAL_TOTAL,FLOOD_EAL_SCORE,FLOOD_EAL_RATING,FLOOD_EAL_NATL_PCTILE,FLOOD_EVENTS,FLOOD_ANNUAL_FREQ,FLOOD_IMPACTED_AREA_SQMI,FLOOD_EXPOSURE_TOTAL,FLOOD_HIST_LOSS_RATING,SFHA_AREA_SQMI,PCT_COUNTY_IN_SFHA,BUYOUTS_TOTAL,BUYOUTS_FEMA,BUYOUTS_USACE,BUYOUTS_NRCS,BUYOUTS_HUD,BUYOUTS_COMMUNITY,BUYOUT_YEAR_MIN,BUYOUT_YEAR_MAX,REPETITIVE_LOSS_AREAS,REPETITIVE_LOSS_STREAMS,PRIMARY_WATERSHED,PRIMARY_HUC8,BASIN,SPANS_BOTH_BASINS,ALL_WATERSHEDS
54041,Lewis,West Virginia,5,23,290153,17,16920,0.56,Rural,744.0,744,27.2,Aging County,7.3,16.4,0,17010,393.58,3973333695,8075285,43.7,Relatively Low,11905096,59.32,Relatively Moderate,53.12,Relatively Moderate,69.08,Relatively Low,10843777,67.57,Relatively Low,99.41,44,1.571,13.25,28800291452,Relatively Moderate,10.35,2.66,0,0,0,0,0,0,,,0,,West Fork,05020002,Ohio River,N,West Fork; Little Kanawha
54043,Lincoln,West Virginia,12,23,4764516,233,20410,0.4,Rural,689.5,950,29.5,Aging County,3.3,88.2,3,20386,443.09,3367146082,1040417,59.7,Relatively Low,15385915,76.15,Relatively High,15.39,Very Low,78.69,Relatively Moderate,13461170,72.87,Relatively Low,96.44,68,2.429,16.06,57273092264,Relatively Low,11.14,2.54,62,62,0,0,0,0,2007,2022,0,,Lower Guyandotte,05070102,Ohio River,N,Lower Guyandotte; Coal; Twelvepole
54045,Logan,West Virginia,7,23,1978895,61,32350,0.66,Rural,689.5,950,29.3,Aging County,4.5,68.8,1,32451,460.15,6189946730,53022,79.23,Relatively Low,29790671,75.54,Relatively High,14.25,Very Low,89.38,Relatively Moderate,26623117,86.01,Relatively Moderate,95.98,51,1.821,11.86,107460983856,Relatively Low,6.02,1.32,57,55,0,0,0,2,2002,2008,0,,Upper Guyandotte,05070101,Ohio River,N,Upper Guyandotte; Lower Guyandotte; Coal
54047,McDowell,West Virginia,3,23,2248847,119,18911,0.87,Rural,689.5,950,29.9,Aging County,19.4,4.0,2,19078,540.3,3862738640,382884,76.65,Relatively Low,20512062,96.28,Very High,4.13,Very Low,84.7,Relatively Moderate,14244903,74.1,Relatively Low,94.06,50,1.786,9.01,53399490896,Relatively Moderate,5.09,0.95,708,295,153,3,0,257,2001,2017,4,Browns Creek; Elkhorn Creek; Tug Fork,Tug,05070201,Ohio River,N,Tug
54049,Marion,West Virginia,2,23,484250,9,56194,0.44,Urban,760.5,777,26.7,Aging County,8.1,13.4,0,56158,314.66,13309742997,3243036,71.5,Relatively Low,29563026,41.89,Relatively Moderate,76.4,Relatively High,85.69,Relatively Moderate,26690407,86.08,Relatively Moderate,95.3,66,2.357,22.37,44621508062,Relatively High,7.34,2.36,6,6,0,0,0,0,2011,2012,0,,Upper Monongahela,05020003,Ohio River,N,Upper Monongahela; West Fork; Tygart Valley
54051,Marshall,West Virginia,7,23,30411816,997,30509,0.22,Rural,598.1,950,32.4,Aged County,5.4,21.2,0,30591,315.31,7726585696,4905236,56.81,Relatively Low,17779693,49.71,Relatively Moderate,69.02,Relatively High,76.75,Relatively Moderate,16022903,76.89,Relatively Moderate,95.02,64,2.286,15.24,39084076740,Relatively Moderate,13.21,4.23,0,0,0,0,0,0,,,0,,Upper Ohio-Wheeling,05030106,Ohio River,N,Upper Ohio-Wheeling; Little Musringum-Middle Island
54053,Mason,West Virginia,4,23,250034,10,25488,0.28,Rural,854.2,1712,30.3,Aged County,4.2,81.3,1,25424,449.21,6945898442,46819623,57.44,Relatively Low,15497956,68.99,Relatively High,41.22,Relatively Moderate,76.3,Relatively Moderate,13379394,72.65,Relatively Low,96.26,58,2.071,38.19,42166045004,Relatively Moderate,43.82,9.85,10,10,0,0,0,0,2000,2001,0,,Lower Kanawha,05050008,Ohio River,N,Lower Kanawha; Upper Ohio-Shade; Raccoon-Symmes
54055,Mercer,West Virginia,3,23,26389,0,59530,0.73,Urban,689.5,950,29.5,Aging County,10.8,0.1,0,59638,424.92,11510397470,8846835,65.24,Relatively Low,18456665,75.7,Relatively High,35.62,Relatively Low,78.34,Relatively Moderate,13560712,73.02,Relatively Low,80.66,59,2.107,28.33,61995021303,Relatively Low,8.18,1.94,32,32,0,0,0,0,1998,2013,3,Bluestone River; East River; Lefthand Fork,Middle New,05050002,Ohio River,N,Middle New
54057,Mineral,West Virginia,2,23,1225937,45,26957,0.21,Rural,387.7,744,30.0,Aged County,7.2,31.3,0,26925,332.54,5886039339,27840469,52.83,Relatively Low,14706166,60.66,Relatively High,43.8,Relatively Moderate,74.24,Relatively Moderate,13255085,72.37,Relatively Low,98.05,38,1.357,20.94,29404176193,Relatively High,11.65,3.54,20,20,0,0,0,0,1998,2001,0,,North Branch Potomac,02070002,Chesapeake Bay,N,North Branch Potomac
54059,Mingo,West Virginia,6,23,1049331,45,23466,0.68,Rural,699.0,950,29.5,Aging County,4.5,77.6,2,23504,428.26,3716928201,203482,72.58,Relatively Low,17624354,93.89,Very High,1.81,Very Low,86.04,Relatively Moderate,15464635,76.3,Relatively Low,99.97,49,1.75,10.17,67470067725,Relatively Low,5.78,1.36,132,11,83,1,0,37,1994,2007,0,,Tug,05070201,Ohio River,N,Tug; Upper Guyandotte; Twelvepole
